K,n,δ,A,up
0.031,4.3,320.0,20.0,1.1
0.031,4.3,325.0,20.0,1.0
0.031,4.3,325.0,20.0,1.1
0.031,4.3,330.0,20.0,1.0
0.031,4.3,330.0,20.0,1.1
0.031,4.3,330.0,20.0,1.2
0.031,4.3,335.0,20.0,1.0
0.031,4.3,335.0,20.0,1.1
0.031,4.3,335.0,20.0,1.2
0.031,4.3,335.0,20.0,1.3
0.031,4.3,340.0,20.0,1.0
0.031,4.3,340.0,20.0,1.1
0.031,4.3,340.0,20.0,1.2
0.031,4.3,340.0,20.0,1.3
0.031,4.3,340.0,20.0,1.4
0.031,4.3,345.0,20.0,1.0
0.031,4.3,345.0,20.0,1.1
0.031,4.3,345.0,20.0,1.2
0.031,4.3,345.0,20.0,1.3
0.031,4.3,345.0,20.0,1.4
0.031,4.3,345.0,20.0,1.5
0.031,4.3,350.0,20.0,1.0
0.031,4.3,350.0,20.0,1.1
0.031,4.3,350.0,20.0,1.2
0.031,4.3,350.0,20.0,1.3
0.031,4.3,350.0,20.0,1.4
