Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
01110110,"Or(And(x[0], ~x[1]), And(x[1], ~x[2]), And(~x[0], x[1]))",8,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a, c),I4 = NOR(I5),I5 = NOR(I6, I8),I6 = NOR(a, I3)",131,3
01110111,"Or(x[0], x[1])",4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,2
01111000,"Or(And(x[0], ~x[2]), And(~x[0], ~x[1], x[2]), And(x[1], ~x[2]))",5,"O = NOR(I1, I5),I1 = NOR(I2, I3),I2 = NOR(b, I3),I3 = NOR(c, a)",169,3
01111001,"Or(And(x[0], ~x[2]), And(~x[0], ~x[1], x[2]), And(x[0], x[1]), And(x[1], ~x[2]))",8,"O = NOR(I1, I9),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(c, a),I4 = NOR(I5, I7),I5 = NOR(I3, a),I7 = NOR(c, I3)",41,3
01111010,"Or(And(x[0], ~x[2]), And(x[1], ~x[2]), And(~x[0], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(c, a),I4 = NOR(c, I5),I5 = NOR(b)",137,3
01111011,"Or(x[1], And(x[0], ~x[2]), And(~x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(c, I3)",9,3
01111100,"Or(And(x[0], ~x[2]), And(x[1], ~x[2]), And(~x[1], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(c, b),I4 = NOR(c, I5),I5 = NOR(a)",137,3
01111101,"Or(x[0], And(~x[1], x[2]), And(x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(I5),I5 = NOR(I6, b),I6 = NOR(c, I3)",9,3
01111110,"Or(And(x[0], ~x[2]), And(~x[0], x[1]), And(~x[1], x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(I5, I8),I5 = NOR(I3, I7),I7 = NOR(a)",129,3
01111111,"Or(x[0], x[1], x[2])",4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,3
10000000,"And(~x[0], ~x[1], ~x[2])",3,"O = NOR(a, I1),I1 = NOR(I2),I2 = NOR(b, c)",254,3
10000001,"Or(And(~x[0], ~x[1], ~x[2]), And(x[0], x[1], x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(a),I3 = NOR(I4, I7),I4 = NOR(I5, I2),I5 = NOR(b)",126,3
10000010,"Or(And(~x[0], x[1], x[2]), And(~x[0], ~x[1], ~x[2]))",6,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(a, b),I3 = NOR(I4),I4 = NOR(c, I5),I5 = NOR(a, I2)",190,3
10000011,"Or(And(x[1], x[2]), And(~x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(a, c),I3 = NOR(a, I4),I4 = NOR(b)",62,3
10000100,"Or(And(~x[0], ~x[1], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(b, a),I3 = NOR(I4),I4 = NOR(c, I5),I5 = NOR(b, I2)",190,3
